bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
324VBB,,BadSaarow,7,Brandenburg,3.21,8.56,
326LNVG,,BadSachsa,6,Niedersachsen,4.23,10.34,
327VMBW,,BadSäckingen,5,Baden-Württemberg,2.91,7.35,
328LNVG,,BadSalzdetfurth,7,Niedersachsen,2.85,7.6,
8064LNVG,,BadSalzdetfurth-Solebad,7,Niedersachsen,2.85,7.6,
329RMV,,BadSalzhausen,6,Hessen,2.48,6.52,
331RMV,,BadSalzschlirf,6,Hessen,2.48,6.52,
332NWL,,BadSalzuflen,6,Nordrhein-Westfalen,3.85,9.87,
6129NWL,,BadSalzuflen-Sylbach,6,Nordrhein-Westfalen,3.85,,"9,87Namealt:Sylbach"
333TLBV,,BadSalzungen,6,Thüringen,3.43,9.13,
334NWL,,BadSassendorf,6,Nordrhein-Westfalen,3.85,9.87,
5520VMBW,,BadSaulgau,6,Baden-Württemberg,2.35,6.18,
335VVO,,BadSchandau,4,Sachsen,2.53,6.78,
341VMBW,,BadSchönbornKronau,6,Baden-Württemberg,2.35,6.18,
340VMBW,,BadSchönbornSüd,4,Baden-Württemberg,3.92,10.18,
342VMBW,,BadSchussenried,5,Baden-Württemberg,2.91,7.35,
343NAHSH,,BadSchwartau,5,Schleswig-Holstein,3.75,9.91,
344VMBW,,BadSebastiansweiler-Belsen,6,Baden-Württemberg,2.35,6.18,
345NAHSH,,BadSegeberg,6,Schleswig-Holstein,3.53,9.43,
5875ZÖPNVSüd,,BadSobernheim,5,Rheinland-Pfalz,2.95,7.78,
346RMV,,BadSoden(Taunus),5,Hessen,2.4,6.3,
347RMV,,BadSoden-Salmünster,5,Hessen,2.4,6.3,
348NVV,,BadSooden-Allendorf,6,Hessen,2.73,7.26,
349NAHSH,,BadStPeterSüd,7,Schleswig-Holstein,2.21,5.91,
350NAHSH,,BadStPeter-Ording,6,Schleswig-Holstein,3.53,9.43,
5963BEG,,BadStaffelstein,5,Bayern,2.72,7.01,
351BEG,,BadSteben,7,Bayern,2.13,5.65,
353TLBV,,BadSulza,6,Thüringen,3.43,9.13,
354TLBV,,BadSulzaNord,7,Thüringen,2.7,7.22,
355VMBW,,BadTeinach-Neubulach,7,Baden-Württemberg,1.9,5.07,
357BEG,,BadTölz,6,Bayern,2.89,7.59,
358RMV,,BadVilbel,3,Hessen,4.14,10.93,
359RMV,,BadVilbelSüd,5,Hessen,2.4,6.3,
2287RMV,,BadVilbel-Gronau,6,Hessen,2.48,6.52,
360VMBW,,BadWaldsee,6,Baden-Württemberg,2.35,6.18,
363VBB,,BadWilsnack,6,Brandenburg,3.98,10.22,
364VMBW,,BadWimpfen,6,Baden-Württemberg,2.35,6.18,
8273VMBW,,BadWimpfenimTal,6,Baden-Württemberg,2.35,6.18,
365VMBW,,BadWimpfen-Hohenstadt,6,Baden-Württemberg,2.35,6.18,
366BEG,,BadWindsheim,6,Bayern,2.89,7.59,
367BEG,,BadWörishofen,6,Bayern,2.89,7.59,
368LNVG,,BadZwischenahn,5,Niedersachsen,4.79,12.4,
369RVB,,Baddeckenstedt,6,Niedersachsen,4.87,10.77,
370LNVG,,Baden(KrVerden),5,Niedersachsen,4.79,12.4,
371VMBW,,Baden-Baden,3,Baden-Württemberg,5.29,13.61,
7159VMBW,,Baden-BadenHaueneberstein,6,Baden-Württemberg,2.35,6.18,
6236VMBW,,Baden-BadenRebland,6,Baden-Württemberg,2.35,6.18,
373VBB,,Bagenz,6,Brandenburg,3.98,10.22,
374VBB,,Bahnsdorf,6,Brandenburg,3.98,10.22,
376BWVI,,Bahrenfeld,4,Hamburg,2.79,6.93,
377BEG,,Baierbrunn,6,Bayern,2.89,7.59,
379BEG,,Baiersdorf,5,Bayern,2.72,7.01,
380VBB,,Baitz,6,Brandenburg,3.98,10.22,
381BEG,,Balbersdorf,7,Bayern,2.13,5.65,
382BEG,,Baldham,5,Bayern,2.72,7.01,
,383ZVRPNord,Balduinstein,6,Rheinland-Pfalz,2.27,5.85,
8032VMBW,,Balgheim,7,Baden-Württemberg,1.9,5.07,
384NASA,,Balgstädt,7,Sachsen-Anhalt,2.77,7.39,
385VMBW,,Balingen(Württ),4,Baden-Württemberg,3.92,10.18,
386VMBW,,BalingenSüd,6,Baden-Württemberg,2.35,6.18,
390TLBV,,Ballstädt(KrGotha),7,Thüringen,2.7,7.22,
391ZPS,,Baltersweiler,6,Saarland,1.54,4.04,
392NWL,,Balve,6,Nordrhein-Westfalen,3.85,9.87,
393BEG,,Bamberg,2,Bayern,13.72,36.53,
394VMBW,,Bammental,6,Baden-Württemberg,2.35,6.18,
398LNVG,,Banteln,6,Niedersachsen,4.23,10.34,
400RH,,Bantorf,5,Niedersachsen,4.35,11.59,
7185ZÖPNVSüd,,Barbelroth,7,Rheinland-Pfalz,1.49,4.01,
402LNVG,,Bardowick,6,Niedersachsen,4.23,10.34,
403VVO,,Bärenhecke-Johnsbach,7,Sachsen,2.46,6.58,
405VBB,,Bärenklau,7,Brandenburg,3.21,8.56,
406VVO,,Bärenstein(bGlashütte/Sachs),6,Sachsen,2.85,7.61,
408NAHSH,,Bargteheide,4,Schleswig-Holstein,4.78,12.76,
410NASA,,Barleben,6,Sachsen-Anhalt,3.34,8.9,
411NASA,,BarleberSee,6,Sachsen-Anhalt,3.34,8.9,
412BWVI,,Barmbek,4,Hamburg,2.79,6.93,
414LNVG,,Barnstorf(Han),5,Niedersachsen,4.79,12.4,
415LNVG,,Barnten,6,Niedersachsen,4.23,10.34,
416LNVG,,Barrien,6,Niedersachsen,4.23,10.34,
418RH,,Barsinghausen,5,Niedersachsen,4.35,11.59,
420ZVV,,Barthmühle,6,Sachsen,3.51,9.38,
421VBB,,Baruth(Mark),6,Brandenburg,3.98,10.22,
425LNVG,,Bassum,4,Niedersachsen,4.96,13.09,
426VMBW,,Batzenhäusle,6,Baden-Württemberg,2.35,6.18,
427BEG,,Batzhausen,6,Bayern,2.89,7.59,
429BEG,,Bäumenheim,6,Bayern,2.89,7.59,
,430VBBBerlin,Baumschulenweg,4,Berlin,2.0,5.33,
431BEG,,Baunach,6,Bayern,2.89,7.59,
